TITULO_ORIGINAL,TIPO_OBRA,PAIS_OBRA,PUBLICO_TOTAL,PAIS_OBRA,Contagem,TIPO_OBRA,Publico_Total,TITULO_ORIGINAL,PUBLICO_TOTAL,PUBLICO_NIVEL,TITULO_ORIGINAL,RENDA_TOTAL,TITULO_ORIGINAL,DATA_LANCAMENTO_OBRA,MES_LANCAMENTO,RAZAO_SOCIAL_DISTRIBUIDORA,NOME_DISTRIBUIDORA
O MESTRE DA FUMAÇA,FICÇÃO,BRASIL,2965.0,,,,,O MESTRE DA FUMAÇA,2965,Alto,O MESTRE DA FUMAÇA,,O MESTRE DA FUMAÇA,2023-05-18,5,LANCA DISTRIBUIDORA DE FILMES LTDA,LANCA
AS ÓRFÃS DA RAINHA,FICÇÃO,BRASIL,2349.0,,,,,AS ÓRFÃS DA RAINHA,2349,Alto,AS ÓRFÃS DA RAINHA,,AS ÓRFÃS DA RAINHA,2023-05-11,5,CINEMATOGRÁFICA DISTRIBUIDORA DE FILMES LTDA,CINEMATOGRÁFICA
O HOMEM CORDIAL,FICÇÃO,BRASIL,5503.0,,,,,O HOMEM CORDIAL,5503,Alto,O HOMEM CORDIAL,,O HOMEM CORDIAL,2023-05-11,5,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,O2
A PRIMEIRA MORTE DE JOANA,FICÇÃO,BRASIL,3922.0,,,,,A PRIMEIRA MORTE DE JOANA,3922,Alto,A PRIMEIRA MORTE DE JOANA,,A PRIMEIRA MORTE DE JOANA,2023-05-04,5,LANCA DISTRIBUIDORA DE FILMES LTDA,LANCA
NINGUÉM É DE NINGUÉM,FICÇÃO,BRASIL,140414.0,,,,,NINGUÉM É DE NINGUÉM,140414,Alto,NINGUÉM É DE NINGUÉM,,NINGUÉM É DE NINGUÉM,2023-04-20,4,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,COLUMBIA
RIO DOCE,FICÇÃO,BRASIL,1328.0,,,,,RIO DOCE,1328,Alto,RIO DOCE,,RIO DOCE,2023-04-20,4,VITRINE FILMES LTDA,VITRINE
O LODO,FICÇÃO,BRASIL,3290.0,,,,,O LODO,3290,Alto,O LODO,,O LODO,2023-04-13,4,CINEMATOGRÁFICA DISTRIBUIDORA DE FILMES LTDA,CINEMATOGRÁFICA
O PASTOR E O GUERRILHEIRO,FICÇÃO,BRASIL,4679.0,,,,,O PASTOR E O GUERRILHEIRO,4679,Alto,O PASTOR E O GUERRILHEIRO,,O PASTOR E O GUERRILHEIRO,2023-04-13,4,A2 DISTRIBUIDORA DE FILMES LTDA EPP,A2
PARA'Í,FICÇÃO,BRASIL,2088.0,,,,,PARA'Í,2088,Alto,PARA'Í,,PARA'Í,2023-04-13,4,DESCOLONIZA FILMES E PRODUCOES ARTISTICAS EIRELI,DESCOLONIZA
NOITES ALIENÍGENAS,FICÇÃO,BRASIL,6963.0,,,,,NOITES ALIENÍGENAS,6963,Alto,NOITES ALIENÍGENAS,,NOITES ALIENÍGENAS,2023-03-30,3,VITRINE FILMES LTDA,VITRINE
LA SITUACIÓN,FICÇÃO,BRASIL,9653.0,,,,,LA SITUACIÓN,9653,Alto,LA SITUACIÓN,,LA SITUACIÓN,2023-03-23,3,THE WALT DISNEY COMPANY (BRASIL) LTDA.,THE
O RIO DO DESEJO,FICÇÃO,BRASIL,7777.0,,,,,O RIO DO DESEJO,7777,Alto,O RIO DO DESEJO,,O RIO DO DESEJO,2023-03-23,3,GULLANE ENTRETENIMENTO S.A.,GULLANE
RAQUEL 1:1,FICÇÃO,BRASIL,1223.0,,,,,RAQUEL 1:1,1223,Alto,RAQUEL 1:1,,RAQUEL 1:1,2023-03-23,3,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,O2
MEDUSA,FICÇÃO,BRASIL,2329.0,,,,,MEDUSA,2329,Alto,MEDUSA,,MEDUSA,2023-03-16,3,VITRINE FILMES LTDA,VITRINE
MONUMENTAL SUPER KIDS,FICÇÃO,BRASIL,10206.0,,,,,MONUMENTAL SUPER KIDS,10206,Alto,MONUMENTAL SUPER KIDS,,MONUMENTAL SUPER KIDS,2023-03-13,3,LUCIANO DA LUZ MOUCKS,LUCIANO
A PORTA AO LADO,FICÇÃO,BRASIL,1017.0,,,,,A PORTA AO LADO,1017,Alto,A PORTA AO LADO,,A PORTA AO LADO,2023-03-09,3,VITRINE FILMES LTDA,VITRINE
MATO SECO EM CHAMAS,FICÇÃO,BRASIL,2270.0,,,,,MATO SECO EM CHAMAS,2270,Alto,MATO SECO EM CHAMAS,,MATO SECO EM CHAMAS,2023-02-23,2,VITRINE FILMES LTDA,VITRINE
DESAPEGA,FICÇÃO,BRASIL,153466.0,,,,,DESAPEGA,153466,Alto,DESAPEGA,,DESAPEGA,2023-02-09,2,WMIX DISTRIBUIDORA LTDA.,WMIX
ENALDINHO E O MISTÉRIO DA LAGOA.,FICÇÃO,BRASIL,47768.0,,,,,ENALDINHO E O MISTÉRIO DA LAGOA.,47768,Alto,ENALDINHO E O MISTÉRIO DA LAGOA.,,ENALDINHO E O MISTÉRIO DA LAGOA.,2023-02-09,2,WMIX DISTRIBUIDORA LTDA.,WMIX
FERVO,FICÇÃO,BRASIL,11517.0,,,,,FERVO,11517,Alto,FERVO,,FERVO,2023-01-19,1,THE WALT DISNEY COMPANY (BRASIL) LTDA.,THE
REGRA 34,FICÇÃO,BRASIL,6104.0,,,,,REGRA 34,6104,Alto,REGRA 34,,REGRA 34,2023-01-19,1,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,RESERVA
NAS ONDAS DA FÉ,FICÇÃO,BRASIL,36824.0,,,,,NAS ONDAS DA FÉ,36824,Alto,NAS ONDAS DA FÉ,,NAS ONDAS DA FÉ,2023-01-12,1,WMIX DISTRIBUIDORA LTDA.,WMIX
O AMOR DÁ VOLTAS,FICÇÃO,BRASIL,11409.0,,,,,O AMOR DÁ VOLTAS,11409,Alto,O AMOR DÁ VOLTAS,,O AMOR DÁ VOLTAS,2022-12-22,12,WMIX DISTRIBUIDORA LTDA.,WMIX
